| end of split   1 /  3 | epoch  56 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  56 | time:  7.88s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  56 | time:  2.93s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  57 | time:  7.88s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  57 | time:  2.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  57 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  58 | time:  0.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  58 | time:  7.87s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  58 | time:  2.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  59 | time:  2.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  59 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  59 | time:  7.86s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  60 | time:  7.85s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  60 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  60 | time:  2.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  61 | time:  0.92s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  61 | time:  3.00s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  61 | time:  7.87s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  62 | time:  7.87s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  62 | time:  2.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  62 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  63 | time:  7.87s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  63 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  63 | time:  2.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  64 | time:  7.86s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  64 | time:  0.89s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   3 /  3 | epoch  64 | time:  2.90s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   1 /  3 | epoch  65 | time:  7.84s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
| end of split   2 /  3 | epoch  65 | time:  2.91s | valid loss  1.27 | valid ppl     3.56 | learning rate 0.0000
