| end of split   3 /  3 | epoch  51 | time:  7.85s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  52 | time:  7.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  52 | time:  0.88s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  52 | time:  2.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  53 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  53 | time:  7.87s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  53 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  54 | time:  2.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  54 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  54 | time:  7.86s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  55 | time:  0.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  55 | time:  2.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  55 | time:  7.87s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  56 | time:  7.87s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  56 | time:  2.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  56 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  57 | time:  2.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  57 | time:  7.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  57 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  58 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  58 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  58 | time:  7.87s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
