EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
91	18:04:20	0	0.0156	0.7899921895200761	0.7909	0.7909	0.7909	0.7909	0.7610814571380615	0.7616	0.7616	0.7616	0.7616	0.7029362916946411	0.7591	0.7591	0.7591	0.7591
92	18:04:32	1	0.0156	0.782320553754802	0.7924	0.7924	0.7924	0.7924	0.7563905119895935	0.7569	0.7569	0.7569	0.7569	0.6994701027870178	0.7624	0.7624	0.7624	0.7624
93	18:04:36	2	0.0156	0.7839974712254589	0.7915	0.7915	0.7915	0.7915	0.7641611695289612	0.7531	0.7531	0.7531	0.7531	0.7034668326377869	0.7559	0.7559	0.7559	0.7559
94	18:04:41	3	0.0156	0.7773691885296616	0.7931	0.7931	0.7931	0.7931	0.7650468349456787	0.7531	0.7531	0.7531	0.7531	0.6969568133354187	0.7591	0.7591	0.7591	0.7591
95	18:04:45	4	0.0156	0.7815664232763556	0.7939	0.7939	0.7939	0.7939	0.756132960319519	0.7559	0.7559	0.7559	0.7559	0.6957868337631226	0.7613	0.7613	0.7613	0.7613
96	18:04:50	1	0.0078	0.7712090223957179	0.7929	0.7929	0.7929	0.7929	0.7540539503097534	0.7531	0.7531	0.7531	0.7531	0.6925681829452515	0.7656	0.7656	0.7656	0.7656
97	18:04:54	0	0.0078	0.78062744140625	0.7936	0.7936	0.7936	0.7936	0.7559894919395447	0.7616	0.7616	0.7616	0.7616	0.6955935955047607	0.7677	0.7677	0.7677	0.7677
98	18:04:59	1	0.0078	0.7693428562606198	0.7966	0.7966	0.7966	0.7966	0.755014955997467	0.7569	0.7569	0.7569	0.7569	0.6919944286346436	0.7667	0.7667	0.7667	0.7667
99	18:05:03	2	0.0078	0.7711613107234874	0.7959	0.7959	0.7959	0.7959	0.7513461709022522	0.755	0.755	0.755	0.755	0.69060879945755	0.7656	0.7656	0.7656	0.7656
100	18:05:08	0	0.0078	0.7770602918403932	0.7955	0.7955	0.7955	0.7955	0.7502085566520691	0.7692	0.7692	0.7692	0.7692	0.6923292875289917	0.7688	0.7688	0.7688	0.7688
101	18:05:19	1	0.0078	0.7811214888913129	0.7961	0.7961	0.7961	0.7961	0.7528102993965149	0.7626	0.7626	0.7626	0.7626	0.6932410597801208	0.7699	0.7699	0.7699	0.7699
102	18:05:24	2	0.0078	0.7723498333148641	0.7947	0.7947	0.7947	0.7947	0.7529742121696472	0.7664	0.7664	0.7664	0.7664	0.6934775710105896	0.7645	0.7645	0.7645	0.7645
103	18:05:28	3	0.0078	0.7780367010310468	0.7974	0.7974	0.7974	0.7974	0.7484861016273499	0.7626	0.7626	0.7626	0.7626	0.690650999546051	0.7624	0.7624	0.7624	0.7624
104	18:05:33	4	0.0078	0.763998386031347	0.7946	0.7946	0.7946	0.7946	0.7475194931030273	0.7664	0.7664	0.7664	0.7664	0.6911962032318115	0.7677	0.7677	0.7677	0.7677
105	18:05:37	1	0.0039	0.7751961547995854	0.7978	0.7978	0.7978	0.7978	0.7442200779914856	0.7654	0.7654	0.7654	0.7654	0.6880295276641846	0.7688	0.7688	0.7688	0.7688
106	18:05:42	2	0.0039	0.771334445673805	0.7982	0.7982	0.7982	0.7982	0.7456389665603638	0.7616	0.7616	0.7616	0.7616	0.6884499788284302	0.7677	0.7677	0.7677	0.7677
107	18:05:46	3	0.0039	0.7747731003637292	0.798	0.798	0.798	0.798	0.7481743097305298	0.7588	0.7588	0.7588	0.7588	0.6900873184204102	0.7634	0.7634	0.7634	0.7634
108	18:05:51	4	0.0039	0.7631505618985945	0.7967	0.7967	0.7967	0.7967	0.7456748485565186	0.7607	0.7607	0.7607	0.7607	0.6882023811340332	0.7645	0.7645	0.7645	0.7645
109	18:05:55	1	0.0020	0.7713693677392693	0.7978	0.7978	0.7978	0.7978	0.7460201978683472	0.7626	0.7626	0.7626	0.7626	0.6873061656951904	0.7677	0.7677	0.7677	0.7677
110	18:06:00	2	0.0020	0.7688440345421469	0.7989	0.7989	0.7989	0.7989	0.7459867596626282	0.7597	0.7597	0.7597	0.7597	0.6862087845802307	0.7677	0.7677	0.7677	0.7677
111	18:06:04	3	0.0020	0.762982426636608	0.7992	0.7992	0.7992	0.7992	0.7449141144752502	0.7616	0.7616	0.7616	0.7616	0.686176061630249	0.7667	0.7667	0.7667	0.7667
112	18:06:09	4	0.0020	0.7664456396801815	0.7986	0.7986	0.7986	0.7986	0.7452232837677002	0.7607	0.7607	0.7607	0.7607	0.6857436895370483	0.7688	0.7688	0.7688	0.7688
113	18:06:13	1	0.0010	0.7610198235117234	0.7995	0.7995	0.7995	0.7995	0.7458966374397278	0.7607	0.7607	0.7607	0.7607	0.6858643889427185	0.7677	0.7677	0.7677	0.7677
114	18:06:18	2	0.0010	0.7771605002401005	0.7989	0.7989	0.7989	0.7989	0.7462522983551025	0.7607	0.7607	0.7607	0.7607	0.6861417293548584	0.7688	0.7688	0.7688	0.7688
115	18:06:22	3	0.0010	0.7731969089372783	0.7988	0.7988	0.7988	0.7988	0.7458475828170776	0.7616	0.7616	0.7616	0.7616	0.6863282322883606	0.7667	0.7667	0.7667	0.7667
116	18:06:27	4	0.0010	0.7476692668653268	0.7989	0.7989	0.7989	0.7989	0.746040403842926	0.7616	0.7616	0.7616	0.7616	0.6864286065101624	0.7688	0.7688	0.7688	0.7688
117	18:06:32	1	0.0005	0.7617618353372488	0.7992	0.7992	0.7992	0.7992	0.7461977005004883	0.7616	0.7616	0.7616	0.7616	0.686539888381958	0.7677	0.7677	0.7677	0.7677
118	18:06:36	2	0.0005	0.762639071417193	0.7991	0.7991	0.7991	0.7991	0.7464854121208191	0.7616	0.7616	0.7616	0.7616	0.6865725517272949	0.7677	0.7677	0.7677	0.7677
119	18:06:41	3	0.0005	0.7631118846559637	0.7989	0.7989	0.7989	0.7989	0.7462202310562134	0.7616	0.7616	0.7616	0.7616	0.6863074898719788	0.7688	0.7688	0.7688	0.7688
120	18:06:45	4	0.0005	0.7703633770593233	0.7989	0.7989	0.7989	0.7989	0.7460681796073914	0.7635	0.7635	0.7635	0.7635	0.6864748001098633	0.7667	0.7667	0.7667	0.7667
121	18:06:50	1	0.0002	0.7634670609278036	0.7988	0.7988	0.7988	0.7988	0.745984673500061	0.7645	0.7645	0.7645	0.7645	0.6864195466041565	0.7667	0.7667	0.7667	0.7667
122	18:06:55	2	0.0002	0.7667276314809812	0.7989	0.7989	0.7989	0.7989	0.7461392879486084	0.7645	0.7645	0.7645	0.7645	0.6864504814147949	0.7667	0.7667	0.7667	0.7667
123	18:06:59	3	0.0002	0.7726791580236269	0.7987	0.7987	0.7987	0.7987	0.7459499835968018	0.7645	0.7645	0.7645	0.7645	0.6864705681800842	0.7667	0.7667	0.7667	0.7667
124	18:07:03	4	0.0002	0.7679546689874455	0.7989	0.7989	0.7989	0.7989	0.7462823390960693	0.7635	0.7635	0.7635	0.7635	0.6866801977157593	0.7667	0.7667	0.7667	0.7667
125	18:07:08	1	0.0001	0.7567351032374316	0.7988	0.7988	0.7988	0.7988	0.7462754845619202	0.7635	0.7635	0.7635	0.7635	0.6867681741714478	0.7667	0.7667	0.7667	0.7667
126	18:07:13	2	0.0001	0.7800948357187546	0.7986	0.7986	0.7986	0.7986	0.7462669014930725	0.7635	0.7635	0.7635	0.7635	0.6868259906768799	0.7667	0.7667	0.7667	0.7667
127	18:07:17	3	0.0001	0.7763985996832521	0.7988	0.7988	0.7988	0.7988	0.746238112449646	0.7635	0.7635	0.7635	0.7635	0.6867824196815491	0.7667	0.7667	0.7667	0.7667
128	18:07:22	4	0.0001	0.7666472234342678	0.7991	0.7991	0.7991	0.7991	0.7460724711418152	0.7645	0.7645	0.7645	0.7645	0.6866932511329651	0.7667	0.7667	0.7667	0.7667
